date,1. open,2. high,3. low,4. close,5. volume
2020-08-31 20:00:00,528.93,528.93,528.93,528.93,287.0
2020-08-31 19:59:00,528.5,528.5,528.5,528.5,208.0
2020-08-31 19:52:00,527.12,527.12,527.12,527.12,395.0
2020-08-31 19:51:00,527.2,527.2,527.2,527.2,486.0
2020-08-31 19:45:00,527.32,527.32,527.2,527.2,501.0
2020-08-31 19:42:00,527.95,527.95,527.95,527.95,700.0
2020-08-31 19:38:00,527.01,527.01,527.0,527.01,602.0
2020-08-31 19:37:00,527.25,527.25,527.25,527.25,600.0
2020-08-31 19:20:00,527.32,527.32,527.32,527.32,119.0
2020-08-31 19:11:00,528.0,528.0,528.0,528.0,755.0
2020-08-31 19:08:00,527.0,527.0,527.0,527.0,531.0
2020-08-31 18:36:00,527.23,527.23,527.23,527.23,239.0
2020-08-31 18:33:00,528.0,528.0,528.0,528.0,400.0
2020-08-31 18:21:00,527.63,527.63,527.63,527.63,133.0
2020-08-31 17:36:00,528.9303,528.9303,528.9303,528.9303,132.0
2020-08-31 17:28:00,527.2,527.2,527.2,527.2,208.0
2020-08-31 17:17:00,528.0,528.0,528.0,528.0,103.0
2020-08-31 17:13:00,528.0,528.0,528.0,528.0,376.0
2020-08-31 17:12:00,528.0,528.0,528.0,528.0,277.0
2020-08-31 17:10:00,527.55,527.55,527.55,527.55,252.0
2020-08-31 17:04:00,527.55,527.55,527.55,527.55,267.0
2020-08-31 16:58:00,527.2,527.2,527.2,527.2,418.0
2020-08-31 16:57:00,527.2,527.2,527.2,527.2,136.0
2020-08-31 16:54:00,528.5,528.5,528.5,528.5,112.0
2020-08-31 16:52:00,528.8127,528.8127,528.8127,528.8127,260.0
2020-08-31 16:50:00,529.56,529.56,529.56,529.56,43498.0
2020-08-31 16:34:00,529.0,529.0,529.0,529.0,624.0
2020-08-31 16:27:00,529.56,529.56,529.56,529.56,1643.0
2020-08-31 16:25:00,529.56,529.56,529.56,529.56,4907.0
2020-08-31 16:24:00,529.56,529.56,529.56,529.56,450.0
2020-08-31 16:23:00,529.25,529.25,529.25,529.25,735.0
2020-08-31 16:22:00,529.25,529.25,529.25,529.25,617.0
2020-08-31 16:19:00,529.31,529.31,529.31,529.31,306.0
2020-08-31 16:14:00,529.28,529.28,529.28,529.28,357.0
2020-08-31 16:13:00,529.0,529.0,529.0,529.0,565.0
2020-08-31 16:12:00,529.0,529.0,529.0,529.0,1205.0
2020-08-31 16:10:00,529.0,529.56,529.0,529.2645,2586.0
2020-08-31 16:09:00,529.33,529.56,529.33,529.56,2714.0
2020-08-31 16:07:00,528.8499,529.56,528.8499,528.8499,9568.0
2020-08-31 16:05:00,527.8,527.8,527.8,527.8,6147.0
2020-08-31 16:03:00,529.26,529.26,528.99,528.99,1092.0
2020-08-31 16:01:00,529.56,529.56,529.31,529.31,116962.0
2020-08-31 16:00:00,530.46,530.54,529.05,529.05,59971.0
2020-08-31 15:59:00,529.9,530.49,529.62,530.45,37572.0
2020-08-31 15:58:00,529.73,529.91,529.63,529.9,19820.0
2020-08-31 15:57:00,530.0,530.18,529.7,529.87,24481.0
2020-08-31 15:56:00,529.74,530.075,529.66,529.96,23819.0
2020-08-31 15:55:00,530.58,530.83,529.71,529.83,18053.0
2020-08-31 15:54:00,530.84,531.04,530.57,530.645,15996.0
2020-08-31 15:53:00,530.8701,531.09,530.67,530.97,15095.0
2020-08-31 15:52:00,531.23,531.26,530.8,530.88,12618.0
2020-08-31 15:51:00,531.06,531.4,530.97,531.18,15875.0
